,Loss,trial_index,arm_name,lower_cutoff,upper_cutoff,cutoff_distance,n_sensitivities,n_features,n_interactions,n_atom_layers,trial_status,generation_method
0,8.0269651413,0,0_0,0.6601050198078156,19.263307690620422,24.888806343078613,37,15,1,1,COMPLETED,Sobol
2,8.0516500473,2,2_0,1.3808972043916583,13.802817253395915,33.92997211776674,19,8,3,1,COMPLETED,Sobol
1,8.2803668976,1,1_0,0.9998258175328374,10.230607925914228,38.13954392448068,10,11,1,3,COMPLETED,Sobol
3,62.8257255554,3,3_0,1.4249353474006057,4.165500582195818,39.409665409475565,40,2,2,1,COMPLETED,Sobol
